13031,79922
13033,24635
13035,25549
13037,5574
13039,54931
13043,11022
13045,119498
13047,68006
13049,12534
13051,295089
13053,9475
13055,24925
13057,268156
13059,128551
13061,2828
13063,299439
13065,6720
13067,766378
13069,43060
13071,45891
13073,156865
13075,17236
13077,146747
13079,12103
13081,20053
13083,16239
13085,27059
13087,29326
13089,764489
13091,19949
13093,11156
13095,85155
13097,144648
13099,10794
13101,3721
13103,65169
13105,19668
13107,22893
13109,10792
13111,25436
13113,119491
13115,98583
13117,252901
13119,23471
13121,1069394
13123,31427
13125,2899
13127,84482
13129,57722
13131,26224
13133,19028
13135,958359
13137,46142
13139,203473
13141,8711
13143,30036
13145,34898
13147,25878
13149,11444
13151,241852
13153,164356
13155,9647
13157,76731
13159,14662
13161,14800
13163,15676
13165,8663
13167,9183
13169,28402
13171,18549
13173,9929
13175,49535
13177,33222
13179,65317
13181,7702
13183,16270
13185,118416
13187,33641
13189,21607
13191,10985
13193,12021
13195,30276
13197,7530
13199,20617
13201,5992
13205,21671
13207,28057
13209,8576
13211,20201
13213,40012
13215,207006
13217,112890
13219,42016
13221,14869
13223,169580
13225,28036
13227,33337
13229,19747
13231,18946
13233,42924
13235,9870
13237,22170
13239,2227
13241,16912
13243,6368
13245,206524
13247,93611
13249,4536
13251,14077
13253,9133
13255,67471
13257,26818
13259,5303
13261,29520
13263,5726
13265,1559
13267,24321
13269,7818
13271,12465
13273,9140
13275,45775
13277,41387
13279,27078
13281,12547
13283,6397
13285,69333
13287,8986
13289,8013
13291,24802
13293,27745
13295,67738
13297,97158
13299,36229
13301,5207
13303,19952
13305,30142
13307,2351
13309,7449
13311,28108
13313,102784
13315,8787
13317,9552
13319,8833
13321,20732
15000,1451181
15001,200744
15003,1012399
15005,80
15007,73190
15009,164768
16000,1849339
16001,498278
16003,4428
16005,87276
16007,6367
16009,9576
16011,48097
16013,24348
16015,7664
16017,47403
16019,124737
16021,12139
16023,2584
16025,1084
16027,233013
16029,7013
16031,24760
16033,792
16035,8750
16037,4271
16039,28669
16041,14282
16043,13419
16045,19272
16047,15649
16049,16594
16051,31080
16053,24270
16055,172785
16057,39638
16059,7962
16061,3527
16063,5134
16065,52928
16067,21668
16069,42145
16071,4566
16073,11996
16075,25590
16077,7879
16079,13199
16081,11735
16083,90372
16085,11842
16087,10558
17000,12790357
17001,65614
17003,5169
17005,16684
17007,53343
17009,6227
17011,33191
17013,4407
17015,15672
17017,12991
17019,205654
17021,33960
17023,15429
17025,13273
17027,36901
17029,46760
17031,5263608
17033,18651
17035,10433
17037,100269
17039,15461
17041,19764
17043,931317
